encoder_input,decoder_input,decoder_output
"['<ja>', '▁ジェ', 'イ', 'エア', 'と', 'アイ', 'ベ', 'ックス', 'エ', 'アラ', 'イン', 'ズ', 'のうち', '、', 'CR', '[MASK]', '100', '/', '[MASK]', '[MASK]', 'が', '全', '機', '退', '役', 'する', '前に', 'CR', '[MASK]', '[MASK]', 'を', 'より', '多く', '保', '有', 'していたのは']","['<ja>', '▁ジェ', 'イ', 'エア', 'と', 'アイ', 'ベ', 'ックス', 'エ', 'アラ', 'イン', 'ズ', 'のうち', '、', 'CR', 'J', '100', '/', '200', 'シリーズ', 'が', '全', '機', '退', '役', 'する', '前に', 'CR', 'J', '200', 'を', 'より', '多く', '保', '有', 'していたのは']","['▁ジェ', 'イ', 'エア', 'と', 'アイ', 'ベ', 'ックス', 'エ', 'アラ', 'イン', 'ズ', 'のうち', '、', 'CR', 'J', '100', '/', '200', 'シリーズ', 'が', '全', '機', '退', '役', 'する', '前に', 'CR', 'J', '200', 'を', 'より', '多く', '保', '有', 'していたのは', '<ja>']"
"['<ja>', '[MASK]', '現在', 'に', '到', '[MASK]', 'まで', '天然', 'ガス', '採', '掘', 'が', '[MASK]', 'されたのはいつですか', '?', '[MASK]', '</s>', '[MASK]', '尾', '瀬', '[MASK]', '[MASK]', '間', '山', '北', '麓', 'で', '自', '生', '[MASK]', '植物', 'は何ですか', '?', '[MASK]', '</s>', '▁日']","['<ja>', '▁', '現在', 'に', '到', 'る', 'まで', '天然', 'ガス', '採', '掘', 'が', '禁止', 'されたのはいつですか', '?', '▁', '</s>', '▁', '尾', '瀬', 'や', '浅', '間', '山', '北', '麓', 'で', '自', '生', 'する', '植物', 'は何ですか', '?', '▁', '</s>', '▁日']","['▁', '現在', 'に', '到', 'る', 'まで', '天然', 'ガス', '採', '掘', 'が', '禁止', 'されたのはいつですか', '?', '▁', '</s>', '▁', '尾', '瀬', 'や', '浅', '間', '山', '北', '麓', 'で', '自', '生', 'する', '植物', 'は何ですか', '?', '▁', '</s>', '▁日', '<ja>']"
"['<ja>', '▁『', '私', 'の', '秘密', '』', 'に', '、「', '沖', '縄', 'の', '子供', 'たち', 'へ', '演', '劇', 'を', '運', 'んで', '行', 'く', '者', '」', 'として', '、', '葉', '子', 'が出', '演', 'したのはいつですか', '[MASK]', '▁', '</s>', '▁', '葉', '子']","['<ja>', '▁『', '私', 'の', '秘密', '』', 'に', '、「', '沖', '縄', 'の', '子供', 'たち', 'へ', '演', '劇', 'を', '運', 'んで', '行', 'く', '者', '」', 'として', '、', '葉', '子', 'が出', '演', 'したのはいつですか', '。', '▁', '</s>', '▁', '葉', '子']","['▁『', '私', 'の', '秘密', '』', 'に', '、「', '沖', '縄', 'の', '子供', 'たち', 'へ', '演', '劇', 'を', '運', 'んで', '行', 'く', '者', '」', 'として', '、', '葉', '子', 'が出', '演', 'したのはいつですか', '。', '▁', '</s>', '▁', '葉', '子', '<ja>']"
"['<ja>', '▁1945', '[MASK]', '4', '月', '30', '日', '、', 'ヒトラー', 'は', '[MASK]', 'の', 'どこで', '自殺', 'したか', '?', '▁', '</s>', '▁ソ連', '軍が', '[MASK]', 'を占領', 'したのは', '、', '何月何日', 'か', '?', '▁', '</s>', '▁ソ連', '軍は', '、', '何月', '何日に', '[MASK]', 'を占領']","['<ja>', '▁1945', '年', '4', '月', '30', '日', '、', 'ヒトラー', 'は', 'ベルリン', 'の', 'どこで', '自殺', 'したか', '?', '▁', '</s>', '▁ソ連', '軍が', 'ベルリン', 'を占領', 'したのは', '、', '何月何日', 'か', '?', '▁', '</s>', '▁ソ連', '軍は', '、', '何月', '何日に', 'ベルリン', 'を占領']","['▁1945', '年', '4', '月', '30', '日', '、', 'ヒトラー', 'は', 'ベルリン', 'の', 'どこで', '自殺', 'したか', '?', '▁', '</s>', '▁ソ連', '軍が', 'ベルリン', 'を占領', 'したのは', '、', '何月何日', 'か', '?', '▁', '</s>', '▁ソ連', '軍は', '、', '何月', '何日に', 'ベルリン', 'を占領', '<ja>']"
"['<ja>', '▁富', '[MASK]', '製', '[MASK]', '場', 'は', '、', '[MASK]', '業', '[MASK]', 'から', '経営', '母', '体', 'が', '変', 'わ', 'って', 'も', '最', '後', 'まで', '何', '工場', 'として', '機能', 'を', '貫', 'いた', 'のか', '?', '▁', '[MASK]', '▁富', '[MASK]']","['<ja>', '▁富', '岡', '製', '糸', '場', 'は', '、', '開', '業', '開始', 'から', '経営', '母', '体', 'が', '変', 'わ', 'って', 'も', '最', '後', 'まで', '何', '工場', 'として', '機能', 'を', '貫', 'いた', 'のか', '?', '▁', '</s>', '▁富', '岡']","['▁富', '岡', '製', '糸', '場', 'は', '、', '開', '業', '開始', 'から', '経営', '母', '体', 'が', '変', 'わ', 'って', 'も', '最', '後', 'まで', '何', '工場', 'として', '機能', 'を', '貫', 'いた', 'のか', '?', '▁', '</s>', '▁富', '岡', '<ja>']"
"['<ja>', '▁', '[MASK]', '費', '者', 'への', '利益', 'を', '重', '視', 'して', '開発', 'された', '遺伝', '[MASK]', '組', '換', 'え', '作物', 'の', '食品', 'を何といいますか', '?', '▁', '[MASK]', '▁全', '世界', 'の大', '豆', '作', '[MASK]', '面積', 'の', '約', '8', '割']","['<ja>', '▁', '消', '費', '者', 'への', '利益', 'を', '重', '視', 'して', '開発', 'された', '遺伝', '子', '組', '換', 'え', '作物', 'の', '食品', 'を何といいますか', '?', '▁', '</s>', '▁全', '世界', 'の大', '豆', '作', '付け', '面積', 'の', '約', '8', '割']","['▁', '消', '費', '者', 'への', '利益', 'を', '重', '視', 'して', '開発', 'された', '遺伝', '子', '組', '換', 'え', '作物', 'の', '食品', 'を何といいますか', '?', '▁', '</s>', '▁全', '世界', 'の大', '豆', '作', '付け', '面積', 'の', '約', '8', '割', '<ja>']"
"['<ja>', '▁ユ', 'リ', 'シーズ', '・', 'グ', 'ラント', '大統領', 'により', 'ワシント', 'ンの', '知事', '職', 'に任命', 'された', '人物', 'の名は', '?', '▁', '[MASK]', '▁ユ', 'リ', 'シーズ', '・', 'グ', 'ラント', '大統領が', 'ア', 'レク', 'サン', 'ダー', '・', 'シェ', 'パー', '[MASK]', 'を']","['<ja>', '▁ユ', 'リ', 'シーズ', '・', 'グ', 'ラント', '大統領', 'により', 'ワシント', 'ンの', '知事', '職', 'に任命', 'された', '人物', 'の名は', '?', '▁', '</s>', '▁ユ', 'リ', 'シーズ', '・', 'グ', 'ラント', '大統領が', 'ア', 'レク', 'サン', 'ダー', '・', 'シェ', 'パー', 'ド', 'を']","['▁ユ', 'リ', 'シーズ', '・', 'グ', 'ラント', '大統領', 'により', 'ワシント', 'ンの', '知事', '職', 'に任命', 'された', '人物', 'の名は', '?', '▁', '</s>', '▁ユ', 'リ', 'シーズ', '・', 'グ', 'ラント', '大統領が', 'ア', 'レク', 'サン', 'ダー', '・', 'シェ', 'パー', 'ド', 'を', '<ja>']"
"['<ja>', '[MASK]', '実', '際', '[MASK]', 'トラ', '[MASK]', '飼', '育', '場の', '壁', '[MASK]', '[MASK]', 'はいくらでしたか', '?', '[MASK]', '</s>', '▁A', 'Z', 'A', 'による', '壁', '[MASK]', '[MASK]', 'となる', '[MASK]', 'はどれくらいですか', '?', '[MASK]', '</s>', '▁18', 'フィ', 'ート', 'は何', 'セン', 'チ']","['<ja>', '▁', '実', '際', 'の', 'トラ', 'の', '飼', '育', '場の', '壁', 'の', '高さ', 'はいくらでしたか', '?', '▁', '</s>', '▁A', 'Z', 'A', 'による', '壁', 'の', '基準', 'となる', '高さ', 'はどれくらいですか', '?', '▁', '</s>', '▁18', 'フィ', 'ート', 'は何', 'セン', 'チ']","['▁', '実', '際', 'の', 'トラ', 'の', '飼', '育', '場の', '壁', 'の', '高さ', 'はいくらでしたか', '?', '▁', '</s>', '▁A', 'Z', 'A', 'による', '壁', 'の', '基準', 'となる', '高さ', 'はどれくらいですか', '?', '▁', '</s>', '▁18', 'フィ', 'ート', 'は何', 'セン', 'チ', '<ja>']"
"['<ja>', '▁', 'ディ', 'オ', 'ニュー', 'ソ', 'スは', 'ゼ', 'ウス', 'と', '誰の', '間で', '生まれた', 'か', '。', '▁', '</s>', '▁ヘ', 'ー', 'パイ', 'スト', 'スの', '母', 'は誰', '?', '▁', '</s>', '▁', '法律', '・', '掟', 'の', '女神', 'は誰なの', '?', '▁']","['<ja>', '▁', 'ディ', 'オ', 'ニュー', 'ソ', 'スは', 'ゼ', 'ウス', 'と', '誰の', '間で', '生まれた', 'か', '。', '▁', '</s>', '▁ヘ', 'ー', 'パイ', 'スト', 'スの', '母', 'は誰', '?', '▁', '</s>', '▁', '法律', '・', '掟', 'の', '女神', 'は誰なの', '?', '▁']","['▁', 'ディ', 'オ', 'ニュー', 'ソ', 'スは', 'ゼ', 'ウス', 'と', '誰の', '間で', '生まれた', 'か', '。', '▁', '</s>', '▁ヘ', 'ー', 'パイ', 'スト', 'スの', '母', 'は誰', '?', '▁', '</s>', '▁', '法律', '・', '掟', 'の', '女神', 'は誰なの', '?', '▁', '<ja>']"
"['<ja>', '▁5', '28', '年から', '始まった', '東', 'ローマ帝国', '[MASK]', 'ペ', 'ル', 'シア', 'の間', 'の', '戦争は', '、', 'ホ', 'ス', 'ロー', 'の', '王位', '[MASK]', '[MASK]', '問題', 'のほかに', '、', '何を', 'きっかけ', 'に', '勃発', 'したか', '?', '▁', '</s>', '▁ペ', 'ル', 'シア']","['<ja>', '▁5', '28', '年から', '始まった', '東', 'ローマ帝国', 'と', 'ペ', 'ル', 'シア', 'の間', 'の', '戦争は', '、', 'ホ', 'ス', 'ロー', 'の', '王位', '継', '承', '問題', 'のほかに', '、', '何を', 'きっかけ', 'に', '勃発', 'したか', '?', '▁', '</s>', '▁ペ', 'ル', 'シア']","['▁5', '28', '年から', '始まった', '東', 'ローマ帝国', 'と', 'ペ', 'ル', 'シア', 'の間', 'の', '戦争は', '、', 'ホ', 'ス', 'ロー', 'の', '王位', '継', '承', '問題', 'のほかに', '、', '何を', 'きっかけ', 'に', '勃発', 'したか', '?', '▁', '</s>', '▁ペ', 'ル', 'シア', '<ja>']"
"['<ja>', '▁大', '戦', '末', '期', '[MASK]', '[MASK]', '戦', '後に', 'かけて', 'ドイツ', '東', '[MASK]', 'や', 'ヨーロッパ', '[MASK]', '追', '放', '[MASK]', 'ドイツ', '人', 'は何人', 'か', '?', '▁', '</s>', '▁大', '戦', '末', '期', '[MASK]', '[MASK]', '戦', '後に', 'かけて', 'ドイツ']","['<ja>', '▁大', '戦', '末', '期', 'から', '大', '戦', '後に', 'かけて', 'ドイツ', '東', '部', 'や', 'ヨーロッパ', 'から', '追', '放', 'された', 'ドイツ', '人', 'は何人', 'か', '?', '▁', '</s>', '▁大', '戦', '末', '期', 'から', '大', '戦', '後に', 'かけて', 'ドイツ']","['▁大', '戦', '末', '期', 'から', '大', '戦', '後に', 'かけて', 'ドイツ', '東', '部', 'や', 'ヨーロッパ', 'から', '追', '放', 'された', 'ドイツ', '人', 'は何人', 'か', '?', '▁', '</s>', '▁大', '戦', '末', '期', 'から', '大', '戦', '後に', 'かけて', 'ドイツ', '<ja>']"
"['<ja>', 'バー', 'デン', '政府', 'に対して', '城', '趾', 'の', '維', '持', 'を', '主張', 'して', '戦', '[MASK]', '人物は誰ですか', '。', '▁', '</s>', '▁18', '17', '年から', '18', '44', '年の', '間', 'に何', '[MASK]', 'も', 'ハイ', 'デル', 'ベルク', 'に', '滞', '在', 'し']","['<ja>', 'バー', 'デン', '政府', 'に対して', '城', '趾', 'の', '維', '持', 'を', '主張', 'して', '戦', 'った', '人物は誰ですか', '。', '▁', '</s>', '▁18', '17', '年から', '18', '44', '年の', '間', 'に何', '度', 'も', 'ハイ', 'デル', 'ベルク', 'に', '滞', '在', 'し']","['バー', 'デン', '政府', 'に対して', '城', '趾', 'の', '維', '持', 'を', '主張', 'して', '戦', 'った', '人物は誰ですか', '。', '▁', '</s>', '▁18', '17', '年から', '18', '44', '年の', '間', 'に何', '度', 'も', 'ハイ', 'デル', 'ベルク', 'に', '滞', '在', 'し', '<ja>']"
"['<ja>', '▁1943', '年の', 'インド', '[MASK]', 'における', '共同', '[MASK]', 'は', '、', '日本', '海軍', '、', 'ドイツ', '海軍', 'と何', '[MASK]', 'による', '[MASK]', 'だったのか', '?', '[MASK]', '</s>', '▁1943', '年の', 'インド', '[MASK]', 'における', '共同', '[MASK]', 'に参加', 'した', '軍は', '、', '日本', '海軍']","['<ja>', '▁1943', '年の', 'インド', '洋', 'における', '共同', '作戦', 'は', '、', '日本', '海軍', '、', 'ドイツ', '海軍', 'と何', '軍', 'による', '作戦', 'だったのか', '?', '▁', '</s>', '▁1943', '年の', 'インド', '洋', 'における', '共同', '作戦', 'に参加', 'した', '軍は', '、', '日本', '海軍']","['▁1943', '年の', 'インド', '洋', 'における', '共同', '作戦', 'は', '、', '日本', '海軍', '、', 'ドイツ', '海軍', 'と何', '軍', 'による', '作戦', 'だったのか', '?', '▁', '</s>', '▁1943', '年の', 'インド', '洋', 'における', '共同', '作戦', 'に参加', 'した', '軍は', '、', '日本', '海軍', '<ja>']"
"['<ja>', '▁ディズニー', 'が', '[MASK]', 'バン', '[MASK]', '市', '[MASK]', 'テーマ', 'パー', '[MASK]', '建設', '計画', '[MASK]', '提出', 'したのは', '19', '[MASK]', '[MASK]', '[MASK]', '?', '[MASK]', '</s>', '▁ディズニー', 'が', '[MASK]', 'バン', '[MASK]', '市', '[MASK]', 'テーマ', 'パー', '[MASK]', '建設', '計画', '[MASK]']","['<ja>', '▁ディズニー', 'が', 'バー', 'バン', 'ク', '市', 'に', 'テーマ', 'パー', 'ク', '建設', '計画', 'を', '提出', 'したのは', '19', '51', '年の', '何月ですか', '?', '▁', '</s>', '▁ディズニー', 'が', 'バー', 'バン', 'ク', '市', 'に', 'テーマ', 'パー', 'ク', '建設', '計画', 'を']","['▁ディズニー', 'が', 'バー', 'バン', 'ク', '市', 'に', 'テーマ', 'パー', 'ク', '建設', '計画', 'を', '提出', 'したのは', '19', '51', '年の', '何月ですか', '?', '▁', '</s>', '▁ディズニー', 'が', 'バー', 'バン', 'ク', '市', 'に', 'テーマ', 'パー', 'ク', '建設', '計画', 'を', '<ja>']"
"['<ja>', '▁', 'ハン', 'バー', '[MASK]', '[MASK]', '明', '石', '[MASK]', '大', '[MASK]', '[MASK]', '長', 'いですか', '?', '▁', '</s>', '▁', 'ハン', 'バー', '[MASK]', '[MASK]', '明', '石', '[MASK]', '大', '[MASK]', '[MASK]', '遅く', '作られた', 'の', '?', '▁', '</s>', '▁「', 'N']","['<ja>', '▁', 'ハン', 'バー', '橋', 'と', '明', '石', '海峡', '大', '橋', 'はどちらが', '長', 'いですか', '?', '▁', '</s>', '▁', 'ハン', 'バー', '橋', 'と', '明', '石', '海峡', '大', '橋', 'はどちらが', '遅く', '作られた', 'の', '?', '▁', '</s>', '▁「', 'N']","['▁', 'ハン', 'バー', '橋', 'と', '明', '石', '海峡', '大', '橋', 'はどちらが', '長', 'いですか', '?', '▁', '</s>', '▁', 'ハン', 'バー', '橋', 'と', '明', '石', '海峡', '大', '橋', 'はどちらが', '遅く', '作られた', 'の', '?', '▁', '</s>', '▁「', 'N', '<ja>']"
"['<ja>', '▁リュウグウノツカイ', 'が', '属', 'する', '科', 'は何ですか', '?', '▁', '[MASK]', '▁リュウグウノツカイ', '属', 'に属', 'する', '唯一の', '魚', 'は何ですか', '?', '▁', '[MASK]', '▁リュウグウノツカイ', '[MASK]', '平均', '的', '身', '長', 'はいくらですか', '?', '▁', '[MASK]', '▁リュウグウノツカイ', '[MASK]', '最大', '身', '長', 'として']","['<ja>', '▁リュウグウノツカイ', 'が', '属', 'する', '科', 'は何ですか', '?', '▁', '</s>', '▁リュウグウノツカイ', '属', 'に属', 'する', '唯一の', '魚', 'は何ですか', '?', '▁', '</s>', '▁リュウグウノツカイ', 'の', '平均', '的', '身', '長', 'はいくらですか', '?', '▁', '</s>', '▁リュウグウノツカイ', 'の', '最大', '身', '長', 'として']","['▁リュウグウノツカイ', 'が', '属', 'する', '科', 'は何ですか', '?', '▁', '</s>', '▁リュウグウノツカイ', '属', 'に属', 'する', '唯一の', '魚', 'は何ですか', '?', '▁', '</s>', '▁リュウグウノツカイ', 'の', '平均', '的', '身', '長', 'はいくらですか', '?', '▁', '</s>', '▁リュウグウノツカイ', 'の', '最大', '身', '長', 'として', '<ja>']"
"['<ja>', '▁ラ', 'イン', '川の', '支', '流', '中', '、2', '番目に', '水', '流', 'が多い', '川', '[MASK]', '?', '▁', '</s>', '▁', '記述', 'された', '時代', 'が早', 'かったのは', '[MASK]', 'M', 'o', 'en', 'us', 'と', 'Me', 'yn', 'のどちら', 'でしたか', '?', '▁', '</s>']","['<ja>', '▁ラ', 'イン', '川の', '支', '流', '中', '、2', '番目に', '水', '流', 'が多い', '川', 'は何ですか', '?', '▁', '</s>', '▁', '記述', 'された', '時代', 'が早', 'かったのは', '、', 'M', 'o', 'en', 'us', 'と', 'Me', 'yn', 'のどちら', 'でしたか', '?', '▁', '</s>']","['▁ラ', 'イン', '川の', '支', '流', '中', '、2', '番目に', '水', '流', 'が多い', '川', 'は何ですか', '?', '▁', '</s>', '▁', '記述', 'された', '時代', 'が早', 'かったのは', '、', 'M', 'o', 'en', 'us', 'と', 'Me', 'yn', 'のどちら', 'でしたか', '?', '▁', '</s>', '<ja>']"
